CME,t0 (UT),pa,da,va,vmax,mindt,maxdt,vmed,halo?
112,2025/06/03 07:48,3,58,118,473,69,303,600,II
104,2025/06/08 08:00,10,353,324,322,715,159,1953,IV
74,2025/06/08 11:36,4,300,210,624,502,249,1953,III
72,2025/06/11 21:36,6,115,92,946,531,279,1736,II
62,2025/06/11 23:24,9,144,360,1683,817,168,1886,IV
46,2025/06/15 06:36,7,157,92,188,35,129,303,II
42,2025/06/15 19:24,1,15,140,520,75,349,726,II
39,2025/06/16 03:36,4,7,340,1302,513,226,1735,IV
38,2025/06/17 00:48,8,144,360,1077,529,279,1953,IV
23,2025/06/18 05:00,2,182,114,925,601,262,1953,II
19,2025/06/29 16:12,3,72,102,791,288,199,1358,II
10,2025/07/03 07:08,3,273,168,744,289,236,1420,II
1,2025/07/03 08:56,4,74,110,603,230,240,1197,II
